,segment_id,resource_id,route_segment_id,origin,destination,route_start_time,route_end_time,load_start_time,load_end_time,resource_speed,evacuees,evacuated_location
0,1,Cormorant,1,Snug Cove Marina,Tunstall Bay Dock,10.0,29.92,29.92,32.92,25.0,0,None
1,2,Cormorant,2,Tunstall Bay Dock,Gibsons Harbor,32.92,47.92,47.92,50.92,20.0,12,Tunstall Bay
2,3,Cormorant,3,Gibsons Harbor,Bowen Bay Beach,50.92,61.96,61.96,64.96000000000001,20.0,0,None
3,4,Cormorant,4,Bowen Bay Beach,Gibsons Harbor,64.96000000000001,78.76,78.76,81.76,20.0,12,Bowen Bay
4,5,Cormorant,5,Gibsons Harbor,Bowen Bay Marina,81.76,92.80000000000001,92.80000000000001,95.80000000000001,20.0,0,None
5,6,Cormorant,6,Bowen Bay Marina,Gibsons Harbor,95.80000000000001,109.60000000000001,109.60000000000001,112.60000000000001,20.0,12,Bowen Bay
6,7,Cormorant,7,Gibsons Harbor,Tunstall Bay Beach,112.60000000000001,124.60000000000001,124.60000000000001,127.60000000000001,20.0,0,None
7,8,Cormorant,8,Tunstall Bay Beach,Gibsons Harbor,127.60000000000001,142.60000000000002,142.60000000000002,145.60000000000002,20.0,12,Tunstall Bay
8,9,Cormorant,9,Gibsons Harbor,Bowen Bay Beach,145.60000000000002,156.64000000000001,156.64000000000001,159.64000000000001,20.0,0,None
9,10,Cormorant,10,Bowen Bay Beach,Gibsons Harbor,159.64000000000001,173.44000000000003,173.44000000000003,176.44000000000003,20.0,12,Bowen Bay
10,11,Cormorant,11,Gibsons Harbor,Bowen Bay Marina,176.44000000000003,187.48000000000002,187.48000000000002,190.48000000000002,20.0,0,None
11,12,Cormorant,12,Bowen Bay Marina,Gibsons Harbor,190.48000000000002,204.28000000000003,204.28000000000003,207.28000000000003,20.0,12,Bowen Bay
12,13,Cormorant,13,Gibsons Harbor,Bowen Bay Marina,207.28000000000003,218.32000000000002,218.32000000000002,221.32000000000002,20.0,0,None
13,14,Cormorant,14,Bowen Bay Marina,Gibsons Harbor,221.32000000000002,235.12000000000003,235.12000000000003,238.12000000000003,20.0,12,Bowen Bay
14,15,Cormorant,15,Gibsons Harbor,Bowen Bay Beach,238.12000000000003,249.16000000000003,249.16000000000003,252.16000000000003,20.0,0,None
15,16,Cormorant,16,Bowen Bay Beach,Gibsons Harbor,252.16000000000003,265.96000000000004,265.96000000000004,268.96000000000004,20.0,12,Bowen Bay
16,1,Bowen Arrow,1,Snug Cove Marina,Tunstall Bay Beach,30.0,49.92,49.92,52.92,25.0,0,None
17,2,Bowen Arrow,2,Tunstall Bay Beach,Gibsons Harbor,52.92,67.92,67.92,70.92,20.0,12,Tunstall Bay
18,3,Bowen Arrow,3,Gibsons Harbor,Tunstall Bay Dock,70.92,82.92,82.92,85.92,20.0,0,None
19,4,Bowen Arrow,4,Tunstall Bay Dock,Gibsons Harbor,85.92,100.92,100.92,103.92,20.0,12,Tunstall Bay
20,5,Bowen Arrow,5,Gibsons Harbor,Bowen Bay Marina,103.92,114.96000000000001,114.96000000000001,117.96000000000001,20.0,0,None
21,6,Bowen Arrow,6,Bowen Bay Marina,Gibsons Harbor,117.96000000000001,131.76000000000002,131.76000000000002,134.76000000000002,20.0,12,Bowen Bay
22,7,Bowen Arrow,7,Gibsons Harbor,Bowen Bay Beach,134.76000000000002,145.8,145.8,148.8,20.0,0,None
23,8,Bowen Arrow,8,Bowen Bay Beach,Gibsons Harbor,148.8,162.60000000000002,162.60000000000002,165.60000000000002,20.0,12,Bowen Bay
24,9,Bowen Arrow,9,Gibsons Harbor,Bowen Bay Marina,165.60000000000002,176.64000000000001,176.64000000000001,179.64000000000001,20.0,0,None
25,10,Bowen Arrow,10,Bowen Bay Marina,Gibsons Harbor,179.64000000000001,193.44000000000003,193.44000000000003,196.44000000000003,20.0,12,Bowen Bay
26,11,Bowen Arrow,11,Gibsons Harbor,Bowen Bay Marina,196.44000000000003,207.48000000000002,207.48000000000002,210.48000000000002,20.0,0,None
27,12,Bowen Arrow,12,Bowen Bay Marina,Gibsons Harbor,210.48000000000002,224.28000000000003,224.28000000000003,227.28000000000003,20.0,12,Bowen Bay
28,13,Bowen Arrow,13,Gibsons Harbor,Bowen Bay Beach,227.28000000000003,238.32000000000002,238.32000000000002,241.32000000000002,20.0,0,None
29,14,Bowen Arrow,14,Bowen Bay Beach,Gibsons Harbor,241.32000000000002,255.12000000000003,255.12000000000003,258.12,20.0,12,Bowen Bay
30,15,Bowen Arrow,15,Gibsons Harbor,Bowen Bay Beach,258.12,269.16,269.16,272.16,20.0,0,None
31,16,Bowen Arrow,16,Bowen Bay Beach,Gibsons Harbor,272.16,285.96000000000004,285.96000000000004,288.96000000000004,20.0,12,Bowen Bay
32,1,Apodaca,1,Snug Cove Marina,Tunstall Bay Dock,10.0,29.92,29.92,34.92,25.0,0,None
