,segment_id,resource_id,route_segment_id,origin,destination,route_start_time,route_end_time,load_start_time,load_end_time,resource_speed,evacuees,evacuated_location
0,1,Queen of Capilano,1,Horseshoe Bay Terminal,Snug Cove Ferry Terminal,10.0,24.0,24.0,34.0,12.0,0,None
1,2,Queen of Capilano,2,Snug Cove Ferry Terminal,Horseshoe Bay Terminal,34.0,48.0,48.0,58.0,12.0,457,Snug Cove
2,3,Queen of Capilano,3,Horseshoe Bay Terminal,Snug Cove Ferry Terminal,58.0,72.0,72.0,82.0,12.0,0,None
3,4,Queen of Capilano,4,Snug Cove Ferry Terminal,Horseshoe Bay Terminal,82.0,96.0,96.0,106.0,12.0,457,Snug Cove
4,5,Queen of Capilano,5,Horseshoe Bay Terminal,Snug Cove Ferry Terminal,106.0,120.0,120.0,130.0,12.0,0,None
5,6,Queen of Capilano,6,Snug Cove Ferry Terminal,Horseshoe Bay Terminal,130.0,144.0,144.0,154.0,12.0,457,Snug Cove
6,1,Apodaca,1,Snug Cove Marina,Snug Cove Marina,10.0,10.0,10.0,15.0,25.0,0,None
7,2,Apodaca,2,Snug Cove Marina,Horseshoe Bay Terminal,15.0,23.4,23.4,28.4,20.0,38,Snug Cove
8,3,Apodaca,3,Horseshoe Bay Terminal,Cates Bay Dock,28.4,35.36,35.36,40.36,20.0,0,None
9,4,Apodaca,4,Cates Bay Dock,Horseshoe Bay Terminal,40.36,49.06,49.06,54.06,20.0,38,Hood Point
10,5,Apodaca,5,Horseshoe Bay Terminal,Mannion Bay Wharf,54.06,60.300000000000004,60.300000000000004,65.30000000000001,20.0,0,None
11,6,Apodaca,6,Mannion Bay Wharf,Horseshoe Bay Terminal,65.30000000000001,73.10000000000001,73.10000000000001,78.10000000000001,20.0,38,Snug Cove
12,7,Apodaca,7,Horseshoe Bay Terminal,Mannion Bay Wharf,78.10000000000001,84.34,84.34,89.34,20.0,0,None
13,8,Apodaca,8,Mannion Bay Wharf,Horseshoe Bay Terminal,89.34,97.14,97.14,102.14,20.0,38,Snug Cove
14,9,Apodaca,9,Horseshoe Bay Terminal,Cates Bay Dock,102.14,109.1,109.1,114.1,20.0,0,None
15,10,Apodaca,10,Cates Bay Dock,Horseshoe Bay Terminal,114.1,122.8,122.8,127.8,20.0,38,Hood Point
16,11,Apodaca,11,Horseshoe Bay Terminal,Mannion Bay Wharf,127.8,134.04,134.04,139.04,20.0,0,None
17,12,Apodaca,12,Mannion Bay Wharf,Horseshoe Bay Terminal,139.04,146.84,146.84,151.84,20.0,34,Snug Cove
18,1,Mercury 3,1,Horseshoe Bay Terminal,Cates Bay Dock,20.0,26.96,26.96,31.96,25.0,0,None
19,2,Mercury 3,2,Cates Bay Dock,Horseshoe Bay Terminal,31.96,40.66,40.66,45.66,20.0,40,Hood Point
20,3,Mercury 3,3,Horseshoe Bay Terminal,Cates Bay Dock,45.66,52.62,52.62,57.62,20.0,0,None
21,4,Mercury 3,4,Cates Bay Dock,Horseshoe Bay Terminal,57.62,66.32,66.32,71.32,20.0,40,Hood Point
22,5,Mercury 3,5,Horseshoe Bay Terminal,Mannion Bay Wharf,71.32,77.55999999999999,77.55999999999999,82.55999999999999,20.0,0,None
23,6,Mercury 3,6,Mannion Bay Wharf,Horseshoe Bay Terminal,82.55999999999999,90.35999999999999,90.35999999999999,95.35999999999999,20.0,40,Snug Cove
24,7,Mercury 3,7,Horseshoe Bay Terminal,Cates Bay Dock,95.35999999999999,102.31999999999998,102.31999999999998,107.31999999999998,20.0,0,None
25,8,Mercury 3,8,Cates Bay Dock,Horseshoe Bay Terminal,107.31999999999998,116.01999999999998,116.01999999999998,121.01999999999998,20.0,40,Hood Point
26,9,Mercury 3,9,Horseshoe Bay Terminal,Cates Bay Dock,121.01999999999998,127.97999999999998,127.97999999999998,132.97999999999996,20.0,0,None
27,10,Mercury 3,10,Cates Bay Dock,Horseshoe Bay Terminal,132.97999999999996,141.67999999999995,141.67999999999995,146.67999999999995,20.0,39,Hood Point
28,1,Kona Winds Charters 1,1,Gibsons Harbor,Cates Bay Dock,30.0,50.64,50.64,55.64,25.0,0,None
29,2,Kona Winds Charters 1,2,Cates Bay Dock,Horseshoe Bay Terminal,55.64,64.34,64.34,69.34,20.0,40,Hood Point
30,3,Kona Winds Charters 1,3,Horseshoe Bay Terminal,Mannion Bay Wharf,69.34,75.58,75.58,80.58,20.0,0,None
31,4,Kona Winds Charters 1,4,Mannion Bay Wharf,Horseshoe Bay Terminal,80.58,88.38,88.38,93.38,20.0,40,Snug Cove
32,5,Kona Winds Charters 1,5,Horseshoe Bay Terminal,Snug Cove Marina,93.38,100.1,100.1,105.1,20.0,0,None
33,6,Kona Winds Charters 1,6,Snug Cove Marina,Horseshoe Bay Terminal,105.1,113.5,113.5,118.5,20.0,40,Snug Cove
34,7,Kona Winds Charters 1,7,Horseshoe Bay Terminal,Cates Bay Dock,118.5,125.46,125.46,130.45999999999998,20.0,0,None
35,8,Kona Winds Charters 1,8,Cates Bay Dock,Horseshoe Bay Terminal,130.45999999999998,139.15999999999997,139.15999999999997,144.15999999999997,20.0,40,Hood Point
36,1,Stormaway III,1,Gibsons Harbor,Hood Point Dock,30.0,48.239999999999995,48.239999999999995,53.239999999999995,25.0,0,None
37,2,Stormaway III,2,Hood Point Dock,Horseshoe Bay Terminal,53.239999999999995,64.33999999999999,64.33999999999999,69.33999999999999,20.0,40,Hood Point
38,3,Stormaway III,3,Horseshoe Bay Terminal,Mannion Bay Wharf,69.33999999999999,75.57999999999998,75.57999999999998,80.57999999999998,20.0,0,None
39,4,Stormaway III,4,Mannion Bay Wharf,Horseshoe Bay Terminal,80.57999999999998,88.37999999999998,88.37999999999998,93.37999999999998,20.0,40,Snug Cove
40,5,Stormaway III,5,Horseshoe Bay Terminal,Mannion Bay Wharf,93.37999999999998,99.61999999999998,99.61999999999998,104.61999999999998,20.0,0,None
