,segment_id,resource_id,route_segment_id,origin,destination,route_start_time,route_end_time,load_start_time,load_end_time,resource_speed,evacuees,evacuated_location
0,1,Cormorant,1,Snug Cove Marina,Tunstall Bay Beach,10.0,29.92,29.92,32.92,25.0,0,None
1,2,Cormorant,2,Tunstall Bay Beach,Pasley Island Wharf,32.92,38.02,38.02,41.02,20.0,12,Tunstall Bay
2,3,Cormorant,3,Pasley Island Wharf,Bowen Bay Marina,41.02,44.14,44.14,47.14,20.0,0,None
3,4,Cormorant,4,Bowen Bay Marina,Pasley Island Wharf,47.14,51.04,51.04,54.04,20.0,12,Bowen Bay
4,5,Cormorant,5,Pasley Island Wharf,Bowen Bay Beach,54.04,57.16,57.16,60.16,20.0,0,None
5,6,Cormorant,6,Bowen Bay Beach,Pasley Island Wharf,60.16,64.06,64.06,67.06,20.0,12,Bowen Bay
6,7,Cormorant,7,Pasley Island Wharf,Bowen Bay Marina,67.06,70.18,70.18,73.18,20.0,0,None
7,8,Cormorant,8,Bowen Bay Marina,Pasley Island Wharf,73.18,77.08000000000001,77.08000000000001,80.08000000000001,20.0,12,Bowen Bay
8,9,Cormorant,9,Pasley Island Wharf,Bowen Bay Beach,80.08000000000001,83.20000000000002,83.20000000000002,86.20000000000002,20.0,0,None
9,10,Cormorant,10,Bowen Bay Beach,Pasley Island Wharf,86.20000000000002,90.10000000000002,90.10000000000002,93.10000000000002,20.0,12,Bowen Bay
10,11,Cormorant,11,Pasley Island Wharf,Tunstall Bay Beach,93.10000000000002,97.18000000000002,97.18000000000002,100.18000000000002,20.0,0,None
11,12,Cormorant,12,Tunstall Bay Beach,Pasley Island Wharf,100.18000000000002,105.28000000000002,105.28000000000002,108.28000000000002,20.0,12,Tunstall Bay
12,13,Cormorant,13,Pasley Island Wharf,Bowen Bay Marina,108.28000000000002,111.40000000000002,111.40000000000002,114.40000000000002,20.0,0,None
13,14,Cormorant,14,Bowen Bay Marina,Pasley Island Wharf,114.40000000000002,118.30000000000003,118.30000000000003,121.30000000000003,20.0,12,Bowen Bay
14,15,Cormorant,15,Pasley Island Wharf,Tunstall Bay Beach,121.30000000000003,125.38000000000002,125.38000000000002,128.38000000000002,20.0,0,None
15,16,Cormorant,16,Tunstall Bay Beach,Pasley Island Wharf,128.38000000000002,133.48000000000002,133.48000000000002,136.48000000000002,20.0,12,Tunstall Bay
16,17,Cormorant,17,Pasley Island Wharf,Bowen Bay Beach,136.48000000000002,139.60000000000002,139.60000000000002,142.60000000000002,20.0,0,None
17,18,Cormorant,18,Bowen Bay Beach,Pasley Island Wharf,142.60000000000002,146.50000000000003,146.50000000000003,149.50000000000003,20.0,12,Bowen Bay
18,19,Cormorant,19,Pasley Island Wharf,Bowen Bay Marina,149.50000000000003,152.62000000000003,152.62000000000003,155.62000000000003,20.0,0,None
