,segment_id,resource_id,route_segment_id,origin,destination,route_start_time,route_end_time,load_start_time,load_end_time,resource_speed,evacuees,evacuated_location
0,1,Queen of Capilano,1,Horseshoe Bay Terminal,Snug Cove Ferry Terminal,10.0,24.0,24.0,34.0,12.0,0,None
1,2,Queen of Capilano,2,Snug Cove Ferry Terminal,Horseshoe Bay Terminal,34.0,48.0,48.0,58.0,12.0,457,Snug Cove
2,3,Queen of Capilano,3,Horseshoe Bay Terminal,Snug Cove Ferry Terminal,58.0,72.0,72.0,82.0,12.0,0,None
3,4,Queen of Capilano,4,Snug Cove Ferry Terminal,Horseshoe Bay Terminal,82.0,96.0,96.0,106.0,12.0,457,Snug Cove
4,5,Queen of Capilano,5,Horseshoe Bay Terminal,Snug Cove Ferry Terminal,106.0,120.0,120.0,130.0,12.0,0,None
5,6,Queen of Capilano,6,Snug Cove Ferry Terminal,Horseshoe Bay Terminal,130.0,144.0,144.0,154.0,12.0,457,Snug Cove
6,7,Queen of Capilano,7,Horseshoe Bay Terminal,Snug Cove Ferry Terminal,154.0,168.0,168.0,178.0,12.0,0,None
7,8,Queen of Capilano,8,Snug Cove Ferry Terminal,Horseshoe Bay Terminal,178.0,192.0,192.0,202.0,12.0,457,Snug Cove
8,9,Queen of Capilano,9,Horseshoe Bay Terminal,Snug Cove Ferry Terminal,202.0,216.0,216.0,226.0,12.0,0,None
9,10,Queen of Capilano,10,Snug Cove Ferry Terminal,Horseshoe Bay Terminal,226.0,240.0,240.0,250.0,12.0,183,Snug Cove
10,1,Apodaca,1,Snug Cove Marina,Cates Bay Dock,10.0,16.48,16.48,21.48,25.0,0,None
11,2,Apodaca,2,Cates Bay Dock,Horseshoe Bay Terminal,21.48,30.18,30.18,35.18,20.0,38,Hood Point
12,3,Apodaca,3,Horseshoe Bay Terminal,Cates Bay Dock,35.18,42.14,42.14,47.14,20.0,0,None
13,4,Apodaca,4,Cates Bay Dock,Horseshoe Bay Terminal,47.14,55.84,55.84,60.84,20.0,38,Hood Point
14,5,Apodaca,5,Horseshoe Bay Terminal,Cates Bay Dock,60.84,67.8,67.8,72.8,20.0,0,None
15,6,Apodaca,6,Cates Bay Dock,Horseshoe Bay Terminal,72.8,81.5,81.5,86.5,20.0,38,Hood Point
16,7,Apodaca,7,Horseshoe Bay Terminal,Cates Bay Dock,86.5,93.46,93.46,98.46,20.0,0,None
17,8,Apodaca,8,Cates Bay Dock,Horseshoe Bay Terminal,98.46,107.16,107.16,112.16,20.0,38,Hood Point
18,9,Apodaca,9,Horseshoe Bay Terminal,Cates Bay Dock,112.16,119.11999999999999,119.11999999999999,124.11999999999999,20.0,0,None
19,10,Apodaca,10,Cates Bay Dock,Horseshoe Bay Terminal,124.11999999999999,132.82,132.82,137.82,20.0,38,Hood Point
20,11,Apodaca,11,Horseshoe Bay Terminal,Cates Bay Dock,137.82,144.78,144.78,149.78,20.0,0,None
21,12,Apodaca,12,Cates Bay Dock,Horseshoe Bay Terminal,149.78,158.48,158.48,163.48,20.0,38,Hood Point
22,13,Apodaca,13,Horseshoe Bay Terminal,Cates Bay Dock,163.48,170.44,170.44,175.44,20.0,0,None
23,14,Apodaca,14,Cates Bay Dock,Horseshoe Bay Terminal,175.44,184.14,184.14,189.14,20.0,38,Hood Point
24,15,Apodaca,15,Horseshoe Bay Terminal,Cates Bay Dock,189.14,196.1,196.1,201.1,20.0,0,None
25,16,Apodaca,16,Cates Bay Dock,Horseshoe Bay Terminal,201.1,209.79999999999998,209.79999999999998,214.79999999999998,20.0,38,Hood Point
26,17,Apodaca,17,Horseshoe Bay Terminal,Cates Bay Dock,214.79999999999998,221.76,221.76,226.76,20.0,0,None
27,18,Apodaca,18,Cates Bay Dock,Horseshoe Bay Terminal,226.76,235.45999999999998,235.45999999999998,240.45999999999998,20.0,38,Hood Point
28,19,Apodaca,19,Horseshoe Bay Terminal,Cates Bay Dock,240.45999999999998,247.42,247.42,252.42,20.0,0,None
29,20,Apodaca,20,Cates Bay Dock,Horseshoe Bay Terminal,252.42,261.12,261.12,266.12,20.0,38,Hood Point
30,1,Mercury 3,1,Horseshoe Bay Terminal,Cates Bay Dock,20.0,26.96,26.96,31.96,25.0,0,None
31,2,Mercury 3,2,Cates Bay Dock,Horseshoe Bay Terminal,31.96,40.66,40.66,45.66,20.0,40,Hood Point
32,3,Mercury 3,3,Horseshoe Bay Terminal,Cates Bay Dock,45.66,52.62,52.62,57.62,20.0,0,None
33,4,Mercury 3,4,Cates Bay Dock,Horseshoe Bay Terminal,57.62,66.32,66.32,71.32,20.0,40,Hood Point
34,5,Mercury 3,5,Horseshoe Bay Terminal,Cates Bay Dock,71.32,78.27999999999999,78.27999999999999,83.27999999999999,20.0,0,None
35,6,Mercury 3,6,Cates Bay Dock,Horseshoe Bay Terminal,83.27999999999999,91.97999999999999,91.97999999999999,96.97999999999999,20.0,40,Hood Point
36,7,Mercury 3,7,Horseshoe Bay Terminal,Cates Bay Dock,96.97999999999999,103.93999999999998,103.93999999999998,108.93999999999998,20.0,0,None
37,8,Mercury 3,8,Cates Bay Dock,Horseshoe Bay Terminal,108.93999999999998,117.63999999999999,117.63999999999999,122.63999999999999,20.0,40,Hood Point
38,9,Mercury 3,9,Horseshoe Bay Terminal,Cates Bay Dock,122.63999999999999,129.6,129.6,134.6,20.0,0,None
39,10,Mercury 3,10,Cates Bay Dock,Horseshoe Bay Terminal,134.6,143.29999999999998,143.29999999999998,148.29999999999998,20.0,40,Hood Point
40,11,Mercury 3,11,Horseshoe Bay Terminal,Cates Bay Dock,148.29999999999998,155.26,155.26,160.26,20.0,0,None
41,12,Mercury 3,12,Cates Bay Dock,Horseshoe Bay Terminal,160.26,168.95999999999998,168.95999999999998,173.95999999999998,20.0,40,Hood Point
42,13,Mercury 3,13,Horseshoe Bay Terminal,Cates Bay Dock,173.95999999999998,180.92,180.92,185.92,20.0,0,None
