,segment_id,resource_id,route_segment_id,origin,destination,route_start_time,route_end_time,load_start_time,load_end_time,resource_speed,evacuees,evacuated_location
0,1,Apodaca,1,Snug Cove Marina,Mt Gardner Wharf,10.0,25.36,25.36,30.36,25.0,0,None
1,2,Apodaca,2,Mt Gardner Wharf,Gibsons Harbor,30.36,45.36,45.36,50.36,20.0,38,Mt Gardner
2,3,Apodaca,3,Gibsons Harbor,Mt Gardner Wharf,50.36,62.36,62.36,67.36,20.0,0,None
3,4,Apodaca,4,Mt Gardner Wharf,Gibsons Harbor,67.36,82.36,82.36,87.36,20.0,38,Mt Gardner
4,5,Apodaca,5,Gibsons Harbor,Mt Gardner Wharf,87.36,99.36,99.36,104.36,20.0,0,None
5,6,Apodaca,6,Mt Gardner Wharf,Gibsons Harbor,104.36,119.36,119.36,124.36,20.0,38,Mt Gardner
6,7,Apodaca,7,Gibsons Harbor,Mt Gardner Wharf,124.36,136.36,136.36,141.36,20.0,0,None
7,8,Apodaca,8,Mt Gardner Wharf,Gibsons Harbor,141.36,156.36,156.36,161.36,20.0,38,Mt Gardner
8,9,Apodaca,9,Gibsons Harbor,Mt Gardner Wharf,161.36,173.36,173.36,178.36,20.0,0,None
9,10,Apodaca,10,Mt Gardner Wharf,Gibsons Harbor,178.36,193.36,193.36,198.36,20.0,38,Mt Gardner
10,11,Apodaca,11,Gibsons Harbor,Mt Gardner Wharf,198.36,210.36,210.36,215.36,20.0,0,None
11,12,Apodaca,12,Mt Gardner Wharf,Gibsons Harbor,215.36,230.36,230.36,235.36,20.0,38,Mt Gardner
12,13,Apodaca,13,Gibsons Harbor,Mt Gardner Wharf,235.36,247.36,247.36,252.36,20.0,0,None
13,14,Apodaca,14,Mt Gardner Wharf,Gibsons Harbor,252.36,267.36,267.36,272.36,20.0,13,Mt Gardner
