,segment_id,resource_id,route_segment_id,origin,destination,route_start_time,route_end_time,load_start_time,load_end_time,resource_speed,evacuees,evacuated_location
0,1,Cormorant,1,Snug Cove Marina,Snug Cove Marina,10.0,10.0,10.0,13.0,25.0,0,None
1,2,Cormorant,2,Snug Cove Marina,Horseshoe Bay Terminal,13.0,21.4,21.4,24.4,20.0,9,Snug Cove
2,3,Cormorant,3,Horseshoe Bay Terminal,Mannion Bay Beach,24.4,30.64,30.64,33.64,20.0,0,None
3,4,Cormorant,4,Mannion Bay Beach,Horseshoe Bay Terminal,33.64,41.44,41.44,44.44,20.0,9,Snug Cove
4,5,Cormorant,5,Horseshoe Bay Terminal,Mannion Bay Wharf,44.44,50.68,50.68,53.68,20.0,0,None
5,6,Cormorant,6,Mannion Bay Wharf,Horseshoe Bay Terminal,53.68,61.480000000000004,61.480000000000004,64.48,20.0,9,Snug Cove
6,7,Cormorant,7,Horseshoe Bay Terminal,Mannion Bay Wharf,64.48,70.72,70.72,73.72,20.0,0,None
7,8,Cormorant,8,Mannion Bay Wharf,Horseshoe Bay Terminal,73.72,81.52,81.52,84.52,20.0,9,Snug Cove
8,9,Cormorant,9,Horseshoe Bay Terminal,Mannion Bay Wharf,84.52,90.75999999999999,90.75999999999999,93.75999999999999,20.0,0,None
9,10,Cormorant,10,Mannion Bay Wharf,Horseshoe Bay Terminal,93.75999999999999,101.55999999999999,101.55999999999999,104.55999999999999,20.0,9,Snug Cove
10,11,Cormorant,11,Horseshoe Bay Terminal,Mannion Bay Wharf,104.55999999999999,110.79999999999998,110.79999999999998,113.79999999999998,20.0,0,None
11,12,Cormorant,12,Mannion Bay Wharf,Horseshoe Bay Terminal,113.79999999999998,121.59999999999998,121.59999999999998,124.59999999999998,20.0,9,Snug Cove
12,13,Cormorant,13,Horseshoe Bay Terminal,Mannion Bay Wharf,124.59999999999998,130.83999999999997,130.83999999999997,133.83999999999997,20.0,0,None
13,14,Cormorant,14,Mannion Bay Wharf,Horseshoe Bay Terminal,133.83999999999997,141.64,141.64,144.64,20.0,9,Snug Cove
14,15,Cormorant,15,Horseshoe Bay Terminal,Mannion Bay Beach,144.64,150.88,150.88,153.88,20.0,0,None
15,16,Cormorant,16,Mannion Bay Beach,Horseshoe Bay Terminal,153.88,161.68,161.68,164.68,20.0,9,Snug Cove
16,17,Cormorant,17,Horseshoe Bay Terminal,Mannion Bay Wharf,164.68,170.92000000000002,170.92000000000002,173.92000000000002,20.0,0,None
17,18,Cormorant,18,Mannion Bay Wharf,Horseshoe Bay Terminal,173.92000000000002,181.72000000000003,181.72000000000003,184.72000000000003,20.0,9,Snug Cove
18,1,Apodaca,1,Snug Cove Marina,Snug Cove Marina,10.0,10.0,10.0,15.0,25.0,0,None
19,2,Apodaca,2,Snug Cove Marina,Horseshoe Bay Terminal,15.0,23.4,23.4,28.4,20.0,27,Snug Cove
20,3,Apodaca,3,Horseshoe Bay Terminal,Cates Bay Dock,28.4,35.36,35.36,40.36,20.0,0,None
21,4,Apodaca,4,Cates Bay Dock,Horseshoe Bay Terminal,40.36,49.06,49.06,54.06,20.0,27,Hood Point
22,5,Apodaca,5,Horseshoe Bay Terminal,Cates Bay Dock,54.06,61.02,61.02,66.02000000000001,20.0,0,None
23,6,Apodaca,6,Cates Bay Dock,Horseshoe Bay Terminal,66.02000000000001,74.72000000000001,74.72000000000001,79.72000000000001,20.0,27,Hood Point
24,7,Apodaca,7,Horseshoe Bay Terminal,Cates Bay Dock,79.72000000000001,86.68,86.68,91.68,20.0,0,None
25,8,Apodaca,8,Cates Bay Dock,Horseshoe Bay Terminal,91.68,100.38000000000001,100.38000000000001,105.38000000000001,20.0,27,Hood Point
26,9,Apodaca,9,Horseshoe Bay Terminal,Cates Bay Dock,105.38000000000001,112.34,112.34,117.34,20.0,0,None
27,10,Apodaca,10,Cates Bay Dock,Horseshoe Bay Terminal,117.34,126.04,126.04,131.04000000000002,20.0,27,Hood Point
28,11,Apodaca,11,Horseshoe Bay Terminal,Cates Bay Dock,131.04000000000002,138.00000000000003,138.00000000000003,143.00000000000003,20.0,0,None
29,12,Apodaca,12,Cates Bay Dock,Horseshoe Bay Terminal,143.00000000000003,151.70000000000002,151.70000000000002,156.70000000000002,20.0,27,Hood Point
30,13,Apodaca,13,Horseshoe Bay Terminal,Cates Bay Dock,156.70000000000002,163.66000000000003,163.66000000000003,168.66000000000003,20.0,0,None
31,14,Apodaca,14,Cates Bay Dock,Horseshoe Bay Terminal,168.66000000000003,177.36,177.36,182.36,20.0,27,Hood Point
32,15,Apodaca,15,Horseshoe Bay Terminal,Cates Bay Dock,182.36,189.32000000000002,189.32000000000002,194.32000000000002,20.0,0,None
33,16,Apodaca,16,Cates Bay Dock,Horseshoe Bay Terminal,194.32000000000002,203.02,203.02,208.02,20.0,27,Hood Point
