,segment_id,resource_id,route_segment_id,origin,destination,route_start_time,route_end_time,load_start_time,load_end_time,resource_speed,evacuees,evacuated_location
0,1,Cormorant,1,Snug Cove Marina,Mt Gardner Wharf,10.0,25.36,25.36,28.36,25.0,0,None
1,2,Cormorant,2,Mt Gardner Wharf,Gibsons Harbor,28.36,43.36,43.36,46.36,20.0,12,Mt Gardner
2,1,Apodaca,1,Snug Cove Marina,Mt Gardner Wharf,10.0,25.36,25.36,30.36,25.0,0,None
3,2,Apodaca,2,Mt Gardner Wharf,Gibsons Harbor,30.36,45.36,45.36,50.36,20.0,38,Mt Gardner
4,1,Mercury 1,1,Horseshoe Bay Terminal,Mt Gardner Wharf,20.0,35.36,35.36,38.36,25.0,0,None
5,2,Mercury 1,2,Mt Gardner Wharf,Gibsons Harbor,38.36,53.36,53.36,56.36,20.0,12,Mt Gardner
6,1,Mercury 3,1,Horseshoe Bay Terminal,Mt Gardner Wharf,20.0,35.36,35.36,40.36,25.0,0,None
7,2,Mercury 3,2,Mt Gardner Wharf,Gibsons Harbor,40.36,55.36,55.36,60.36,20.0,40,Mt Gardner
8,1,Sunshine Coast Water Taxi,1,Gibsons Harbor,Mt Gardner Wharf,20.0,32.0,32.0,35.0,25.0,0,None
9,2,Sunshine Coast Water Taxi,2,Mt Gardner Wharf,Gibsons Harbor,35.0,50.0,50.0,53.0,20.0,12,Mt Gardner
10,1,Harbour Ferry Bertram,1,Gibsons Harbor,Mt Gardner Wharf,20.0,35.0,35.0,38.0,20.0,0,None
11,2,Harbour Ferry Bertram,2,Mt Gardner Wharf,Gibsons Harbor,38.0,55.64705882352941,55.64705882352941,58.64705882352941,17.0,6,Mt Gardner
12,1,RCM SAR 01,1,Horseshoe Bay Terminal,Mt Gardner Wharf,30.0,42.8,42.8,45.8,30.0,0,None
13,2,RCM SAR 01,2,Mt Gardner Wharf,Gibsons Harbor,45.8,57.8,57.8,60.8,25.0,12,Mt Gardner
14,1,RCM SAR 01b,1,Horseshoe Bay Terminal,Mt Gardner Wharf,30.0,42.8,42.8,45.8,30.0,0,None
15,2,RCM SAR 01b,2,Mt Gardner Wharf,Gibsons Harbor,45.8,57.8,57.8,60.8,25.0,4,Mt Gardner
