,segment_id,resource_id,route_segment_id,origin,destination,route_start_time,route_end_time,load_start_time,load_end_time,resource_speed,evacuees,evacuated_location
0,1,Apodaca,1,Snug Cove Marina,Cates Bay Dock,10.0,16.48,16.48,21.48,25.0,0,None
1,2,Apodaca,2,Cates Bay Dock,Horseshoe Bay Terminal,21.48,30.18,30.18,35.18,20.0,38,Hood Point
2,3,Apodaca,3,Horseshoe Bay Terminal,Cates Bay Dock,35.18,42.14,42.14,47.14,20.0,0,None
3,4,Apodaca,4,Cates Bay Dock,Horseshoe Bay Terminal,47.14,55.84,55.84,60.84,20.0,38,Hood Point
4,5,Apodaca,5,Horseshoe Bay Terminal,Cates Bay Dock,60.84,67.8,67.8,72.8,20.0,0,None
5,6,Apodaca,6,Cates Bay Dock,Horseshoe Bay Terminal,72.8,81.5,81.5,86.5,20.0,38,Hood Point
6,7,Apodaca,7,Horseshoe Bay Terminal,Cates Bay Dock,86.5,93.46,93.46,98.46,20.0,0,None
7,8,Apodaca,8,Cates Bay Dock,Horseshoe Bay Terminal,98.46,107.16,107.16,112.16,20.0,38,Hood Point
8,9,Apodaca,9,Horseshoe Bay Terminal,Cates Bay Dock,112.16,119.11999999999999,119.11999999999999,124.11999999999999,20.0,0,None
9,10,Apodaca,10,Cates Bay Dock,Horseshoe Bay Terminal,124.11999999999999,132.82,132.82,137.82,20.0,38,Hood Point
10,11,Apodaca,11,Horseshoe Bay Terminal,Cates Bay Dock,137.82,144.78,144.78,149.78,20.0,0,None
11,12,Apodaca,12,Cates Bay Dock,Horseshoe Bay Terminal,149.78,158.48,158.48,163.48,20.0,38,Hood Point
12,13,Apodaca,13,Horseshoe Bay Terminal,Cates Bay Dock,163.48,170.44,170.44,175.44,20.0,0,None
13,14,Apodaca,14,Cates Bay Dock,Horseshoe Bay Terminal,175.44,184.14,184.14,189.14,20.0,38,Hood Point
14,15,Apodaca,15,Horseshoe Bay Terminal,Cates Bay Dock,189.14,196.1,196.1,201.1,20.0,0,None
15,16,Apodaca,16,Cates Bay Dock,Horseshoe Bay Terminal,201.1,209.79999999999998,209.79999999999998,214.79999999999998,20.0,38,Hood Point
16,17,Apodaca,17,Horseshoe Bay Terminal,Cates Bay Dock,214.79999999999998,221.76,221.76,226.76,20.0,0,None
17,18,Apodaca,18,Cates Bay Dock,Horseshoe Bay Terminal,226.76,235.45999999999998,235.45999999999998,240.45999999999998,20.0,38,Hood Point
18,19,Apodaca,19,Horseshoe Bay Terminal,Cates Bay Dock,240.45999999999998,247.42,247.42,252.42,20.0,0,None
19,20,Apodaca,20,Cates Bay Dock,Horseshoe Bay Terminal,252.42,261.12,261.12,266.12,20.0,38,Hood Point
20,21,Apodaca,21,Horseshoe Bay Terminal,Cates Bay Dock,266.12,273.08,273.08,278.08,20.0,0,None
21,22,Apodaca,22,Cates Bay Dock,Horseshoe Bay Terminal,278.08,286.78,286.78,291.78,20.0,32,Hood Point
