Origin,Destination,Distance
Snug Cove Ferry Terminal,Horseshoe Bay Terminal,2.8
Snug Cove Marina,Horseshoe Bay Terminal,2.8
Mannion Bay Wharf,Horseshoe Bay Terminal,2.6
Mannion Bay Beach,Horseshoe Bay Terminal,2.6
Bowen Bay Marina,Horseshoe Bay Terminal,10.2
Bowen Bay Beach,Horseshoe Bay Terminal,10.2
Hood Point Dock,Horseshoe Bay Terminal,3.7
Cates Bay Dock,Horseshoe Bay Terminal,2.9
Cates Bay Beach,Horseshoe Bay Terminal,2.9
Tunstall Bay Dock,Horseshoe Bay Terminal,9.5
Tunstall Bay Beach,Horseshoe Bay Terminal,9.5
Mt Gardner Wharf,Horseshoe Bay Terminal,6.4
Mt Gardner Beach,Horseshoe Bay Terminal,6.4
Snug Cove Ferry Terminal,Gibsons Harbor,10.9
Snug Cove Marina,Gibsons Harbor,10.9
Mannion Bay Wharf,Gibsons Harbor,10.7
Mannion Bay Beach,Gibsons Harbor,10.7
Bowen Bay Marina,Gibsons Harbor,4.6
Bowen Bay Beach,Gibsons Harbor,4.6
Hood Point Dock,Gibsons Harbor,7.6
Cates Bay Dock,Gibsons Harbor,8.6
Cates Bay Beach,Gibsons Harbor,8.6
Tunstall Bay Dock,Gibsons Harbor,5
Tunstall Bay Beach,Gibsons Harbor,5
Mt Gardner Wharf,Gibsons Harbor,5
Mt Gardner Beach,Gibsons Harbor,5
Snug Cove Ferry Terminal,Fishermans Cove,3
Snug Cove Marina,Fishermans Cove,3
Mannion Bay Wharf,Fishermans Cove,2.9
Mannion Bay Beach,Fishermans Cove,2.9
Bowen Bay Marina,Fishermans Cove,8.6
Bowen Bay Beach,Fishermans Cove,8.6
Hood Point Dock,Fishermans Cove,5.3
Cates Bay Dock,Fishermans Cove,4.4
Cates Bay Beach,Fishermans Cove,4.4
Tunstall Bay Dock,Fishermans Cove,7.9
Tunstall Bay Beach,Fishermans Cove,7.9
Mt Gardner Wharf,Fishermans Cove,8.1
Mt Gardner Beach,Fishermans Cove,8.1
