,segment_id,resource_id,route_segment_id,origin,destination,route_start_time,route_end_time,load_start_time,load_end_time,resource_speed,evacuees,evacuated_location
0,1,Queen of Capilano,1,Horseshoe Bay Terminal,Snug Cove Ferry Terminal,10.0,24.0,24.0,34.0,12.0,0,None
1,2,Queen of Capilano,2,Snug Cove Ferry Terminal,Horseshoe Bay Terminal,34.0,48.0,48.0,58.0,12.0,457,Snug Cove
2,3,Queen of Capilano,3,Horseshoe Bay Terminal,Snug Cove Ferry Terminal,58.0,72.0,72.0,82.0,12.0,0,None
3,4,Queen of Capilano,4,Snug Cove Ferry Terminal,Horseshoe Bay Terminal,82.0,96.0,96.0,106.0,12.0,457,Snug Cove
4,5,Queen of Capilano,5,Horseshoe Bay Terminal,Snug Cove Ferry Terminal,106.0,120.0,120.0,130.0,12.0,0,None
5,6,Queen of Capilano,6,Snug Cove Ferry Terminal,Horseshoe Bay Terminal,130.0,144.0,144.0,154.0,12.0,457,Snug Cove
6,1,Cormorant,1,Snug Cove Marina,Snug Cove Marina,10.0,10.0,10.0,13.0,25.0,0,None
7,2,Cormorant,2,Snug Cove Marina,Horseshoe Bay Terminal,13.0,21.4,21.4,24.4,20.0,12,Snug Cove
8,3,Cormorant,3,Horseshoe Bay Terminal,Mannion Bay Wharf,24.4,30.64,30.64,33.64,20.0,0,None
9,4,Cormorant,4,Mannion Bay Wharf,Horseshoe Bay Terminal,33.64,41.44,41.44,44.44,20.0,12,Snug Cove
10,5,Cormorant,5,Horseshoe Bay Terminal,Mannion Bay Beach,44.44,50.68,50.68,53.68,20.0,0,None
11,6,Cormorant,6,Mannion Bay Beach,Horseshoe Bay Terminal,53.68,61.480000000000004,61.480000000000004,64.48,20.0,12,Snug Cove
12,7,Cormorant,7,Horseshoe Bay Terminal,Mannion Bay Beach,64.48,70.72,70.72,73.72,20.0,0,None
13,8,Cormorant,8,Mannion Bay Beach,Horseshoe Bay Terminal,73.72,81.52,81.52,84.52,20.0,12,Snug Cove
14,9,Cormorant,9,Horseshoe Bay Terminal,Mannion Bay Beach,84.52,90.75999999999999,90.75999999999999,93.75999999999999,20.0,0,None
15,10,Cormorant,10,Mannion Bay Beach,Horseshoe Bay Terminal,93.75999999999999,101.55999999999999,101.55999999999999,104.55999999999999,20.0,12,Snug Cove
16,11,Cormorant,11,Horseshoe Bay Terminal,Mannion Bay Beach,104.55999999999999,110.79999999999998,110.79999999999998,113.79999999999998,20.0,0,None
17,12,Cormorant,12,Mannion Bay Beach,Horseshoe Bay Terminal,113.79999999999998,121.59999999999998,121.59999999999998,124.59999999999998,20.0,12,Snug Cove
18,13,Cormorant,13,Horseshoe Bay Terminal,Mannion Bay Wharf,124.59999999999998,130.83999999999997,130.83999999999997,133.83999999999997,20.0,0,None
19,14,Cormorant,14,Mannion Bay Wharf,Horseshoe Bay Terminal,133.83999999999997,141.64,141.64,144.64,20.0,12,Snug Cove
20,15,Cormorant,15,Horseshoe Bay Terminal,Mannion Bay Wharf,144.64,150.88,150.88,153.88,20.0,0,None
21,16,Cormorant,16,Mannion Bay Wharf,Horseshoe Bay Terminal,153.88,161.68,161.68,164.68,20.0,12,Snug Cove
22,1,Bowen Arrow,1,Snug Cove Marina,Snug Cove Marina,30.0,30.0,30.0,33.0,25.0,0,None
23,2,Bowen Arrow,2,Snug Cove Marina,Horseshoe Bay Terminal,33.0,41.4,41.4,44.4,20.0,12,Snug Cove
24,3,Bowen Arrow,3,Horseshoe Bay Terminal,Cates Bay Beach,44.4,51.36,51.36,54.36,20.0,0,None
25,4,Bowen Arrow,4,Cates Bay Beach,Horseshoe Bay Terminal,54.36,63.06,63.06,66.06,20.0,12,Hood Point
26,5,Bowen Arrow,5,Horseshoe Bay Terminal,Cates Bay Dock,66.06,73.02,73.02,76.02,20.0,0,None
27,6,Bowen Arrow,6,Cates Bay Dock,Horseshoe Bay Terminal,76.02,84.72,84.72,87.72,20.0,12,Hood Point
28,7,Bowen Arrow,7,Horseshoe Bay Terminal,Cates Bay Beach,87.72,94.67999999999999,94.67999999999999,97.67999999999999,20.0,0,None
29,8,Bowen Arrow,8,Cates Bay Beach,Horseshoe Bay Terminal,97.67999999999999,106.38,106.38,109.38,20.0,12,Hood Point
30,9,Bowen Arrow,9,Horseshoe Bay Terminal,Mannion Bay Beach,109.38,115.61999999999999,115.61999999999999,118.61999999999999,20.0,0,None
31,10,Bowen Arrow,10,Mannion Bay Beach,Horseshoe Bay Terminal,118.61999999999999,126.41999999999999,126.41999999999999,129.42,20.0,12,Snug Cove
32,11,Bowen Arrow,11,Horseshoe Bay Terminal,Mannion Bay Wharf,129.42,135.66,135.66,138.66,20.0,0,None
33,12,Bowen Arrow,12,Mannion Bay Wharf,Horseshoe Bay Terminal,138.66,146.46,146.46,149.46,20.0,12,Snug Cove
34,1,Apodaca,1,Snug Cove Marina,Snug Cove Marina,10.0,10.0,10.0,15.0,25.0,0,None
35,2,Apodaca,2,Snug Cove Marina,Horseshoe Bay Terminal,15.0,23.4,23.4,28.4,20.0,38,Snug Cove
36,3,Apodaca,3,Horseshoe Bay Terminal,Cates Bay Dock,28.4,35.36,35.36,40.36,20.0,0,None
37,4,Apodaca,4,Cates Bay Dock,Horseshoe Bay Terminal,40.36,49.06,49.06,54.06,20.0,38,Hood Point
38,5,Apodaca,5,Horseshoe Bay Terminal,Cates Bay Dock,54.06,61.02,61.02,66.02000000000001,20.0,0,None
39,6,Apodaca,6,Cates Bay Dock,Horseshoe Bay Terminal,66.02000000000001,74.72000000000001,74.72000000000001,79.72000000000001,20.0,38,Hood Point
40,7,Apodaca,7,Horseshoe Bay Terminal,Cates Bay Dock,79.72000000000001,86.68,86.68,91.68,20.0,0,None
41,8,Apodaca,8,Cates Bay Dock,Horseshoe Bay Terminal,91.68,100.38000000000001,100.38000000000001,105.38000000000001,20.0,38,Hood Point
