,segment_id,resource_id,route_segment_id,origin,destination,route_start_time,route_end_time,load_start_time,load_end_time,resource_speed,evacuees,evacuated_location
0,1,Cormorant,1,Snug Cove Marina,Tunstall Bay Beach,10.0,29.92,29.92,32.92,25.0,0,None
1,2,Cormorant,2,Tunstall Bay Beach,Pasley Island Wharf,32.92,38.02,38.02,41.02,20.0,12,Tunstall Bay
2,3,Cormorant,3,Pasley Island Wharf,Tunstall Bay Beach,41.02,45.1,45.1,48.1,20.0,0,None
3,4,Cormorant,4,Tunstall Bay Beach,Pasley Island Wharf,48.1,53.2,53.2,56.2,20.0,12,Tunstall Bay
4,5,Cormorant,5,Pasley Island Wharf,Bowen Bay Marina,56.2,59.32,59.32,62.32,20.0,0,None
5,6,Cormorant,6,Bowen Bay Marina,Pasley Island Wharf,62.32,66.22,66.22,69.22,20.0,12,Bowen Bay
6,7,Cormorant,7,Pasley Island Wharf,Bowen Bay Marina,69.22,72.34,72.34,75.34,20.0,0,None
7,8,Cormorant,8,Bowen Bay Marina,Pasley Island Wharf,75.34,79.24000000000001,79.24000000000001,82.24000000000001,20.0,12,Bowen Bay
8,9,Cormorant,9,Pasley Island Wharf,Bowen Bay Beach,82.24000000000001,85.36000000000001,85.36000000000001,88.36000000000001,20.0,0,None
9,10,Cormorant,10,Bowen Bay Beach,Pasley Island Wharf,88.36000000000001,92.26000000000002,92.26000000000002,95.26000000000002,20.0,12,Bowen Bay
10,11,Cormorant,11,Pasley Island Wharf,Bowen Bay Marina,95.26000000000002,98.38000000000002,98.38000000000002,101.38000000000002,20.0,0,None
11,12,Cormorant,12,Bowen Bay Marina,Pasley Island Wharf,101.38000000000002,105.28000000000003,105.28000000000003,108.28000000000003,20.0,12,Bowen Bay
12,13,Cormorant,13,Pasley Island Wharf,Bowen Bay Beach,108.28000000000003,111.40000000000003,111.40000000000003,114.40000000000003,20.0,0,None
13,14,Cormorant,14,Bowen Bay Beach,Pasley Island Wharf,114.40000000000003,118.30000000000004,118.30000000000004,121.30000000000004,20.0,12,Bowen Bay
14,15,Cormorant,15,Pasley Island Wharf,Bowen Bay Beach,121.30000000000004,124.42000000000004,124.42000000000004,127.42000000000004,20.0,0,None
15,16,Cormorant,16,Bowen Bay Beach,Pasley Island Wharf,127.42000000000004,131.32000000000005,131.32000000000005,134.32000000000005,20.0,12,Bowen Bay
16,17,Cormorant,17,Pasley Island Wharf,Bowen Bay Beach,134.32000000000005,137.44000000000005,137.44000000000005,140.44000000000005,20.0,0,None
17,18,Cormorant,18,Bowen Bay Beach,Pasley Island Wharf,140.44000000000005,144.34000000000006,144.34000000000006,147.34000000000006,20.0,12,Bowen Bay
18,19,Cormorant,19,Pasley Island Wharf,Bowen Bay Marina,147.34000000000006,150.46000000000006,150.46000000000006,153.46000000000006,20.0,0,None
