,segment_id,resource_id,route_segment_id,origin,destination,route_start_time,route_end_time,load_start_time,load_end_time,resource_speed,evacuees,evacuated_location
0,1,Cormorant,1,Snug Cove Marina,Tunstall Bay Beach,10.0,29.92,29.92,32.92,25.0,0,None
1,2,Cormorant,2,Tunstall Bay Beach,Keats Island Eastbourne Wharf,32.92,41.620000000000005,41.620000000000005,44.620000000000005,20.0,12,Tunstall Bay
2,3,Cormorant,3,Keats Island Eastbourne Wharf,Bowen Bay Beach,44.620000000000005,50.14,50.14,53.14,20.0,0,None
3,4,Cormorant,4,Bowen Bay Beach,Keats Island Eastbourne Wharf,53.14,60.04,60.04,63.04,20.0,12,Bowen Bay
4,5,Cormorant,5,Keats Island Eastbourne Wharf,Bowen Bay Beach,63.04,68.56,68.56,71.56,20.0,0,None
5,6,Cormorant,6,Bowen Bay Beach,Keats Island Eastbourne Wharf,71.56,78.46000000000001,78.46000000000001,81.46000000000001,20.0,5,Bowen Bay
6,7,Cormorant,7,Keats Island Eastbourne Wharf,Bowen Bay Marina,81.46000000000001,86.98,86.98,89.98,20.0,0,None
7,8,Cormorant,8,Bowen Bay Marina,Keats Island Eastbourne Wharf,89.98,96.88000000000001,96.88000000000001,99.88000000000001,20.0,12,Bowen Bay
8,9,Cormorant,9,Keats Island Eastbourne Wharf,Bowen Bay Beach,99.88000000000001,105.4,105.4,108.4,20.0,0,None
9,10,Cormorant,10,Bowen Bay Beach,Keats Island Eastbourne Wharf,108.4,115.30000000000001,115.30000000000001,118.30000000000001,20.0,12,Bowen Bay
10,11,Cormorant,11,Keats Island Eastbourne Wharf,Bowen Bay Marina,118.30000000000001,123.82000000000001,123.82000000000001,126.82000000000001,20.0,0,None
11,12,Cormorant,12,Bowen Bay Marina,Keats Island Eastbourne Wharf,126.82000000000001,133.72,133.72,136.72,20.0,12,Bowen Bay
12,13,Cormorant,13,Keats Island Eastbourne Wharf,Bowen Bay Marina,136.72,142.24,142.24,145.24,20.0,0,None
13,14,Cormorant,14,Bowen Bay Marina,Keats Island Eastbourne Wharf,145.24,152.14000000000001,152.14000000000001,155.14000000000001,20.0,12,Bowen Bay
14,15,Cormorant,15,Keats Island Eastbourne Wharf,Tunstall Bay Dock,155.14000000000001,162.10000000000002,162.10000000000002,165.10000000000002,20.0,0,None
15,16,Cormorant,16,Tunstall Bay Dock,Keats Island Eastbourne Wharf,165.10000000000002,173.8,173.8,176.8,20.0,12,Tunstall Bay
16,17,Cormorant,17,Keats Island Eastbourne Wharf,Tunstall Bay Beach,176.8,183.76000000000002,183.76000000000002,186.76000000000002,20.0,0,None
17,18,Cormorant,18,Tunstall Bay Beach,Keats Island Eastbourne Wharf,186.76000000000002,195.46,195.46,198.46,20.0,12,Tunstall Bay
18,19,Cormorant,19,Keats Island Eastbourne Wharf,Bowen Bay Beach,198.46,203.98000000000002,203.98000000000002,206.98000000000002,20.0,0,None
19,20,Cormorant,20,Bowen Bay Beach,Keats Island Eastbourne Wharf,206.98000000000002,213.88000000000002,213.88000000000002,216.88000000000002,20.0,12,Bowen Bay
20,21,Cormorant,21,Keats Island Eastbourne Wharf,Tunstall Bay Beach,216.88000000000002,223.84000000000003,223.84000000000003,226.84000000000003,20.0,0,None
21,22,Cormorant,22,Tunstall Bay Beach,Keats Island Eastbourne Wharf,226.84000000000003,235.54000000000002,235.54000000000002,238.54000000000002,20.0,12,Tunstall Bay
22,23,Cormorant,23,Keats Island Eastbourne Wharf,Bowen Bay Beach,238.54000000000002,244.06000000000003,244.06000000000003,247.06000000000003,20.0,0,None
23,24,Cormorant,24,Bowen Bay Beach,Keats Island Eastbourne Wharf,247.06000000000003,253.96000000000004,253.96000000000004,256.96000000000004,20.0,12,Bowen Bay
24,25,Cormorant,25,Keats Island Eastbourne Wharf,Bowen Bay Marina,256.96000000000004,262.48,262.48,265.48,20.0,0,None
25,26,Cormorant,26,Bowen Bay Marina,Keats Island Eastbourne Wharf,265.48,272.38,272.38,275.38,20.0,12,Bowen Bay
26,27,Cormorant,27,Keats Island Eastbourne Wharf,Bowen Bay Beach,275.38,280.9,280.9,283.9,20.0,0,None
27,28,Cormorant,28,Bowen Bay Beach,Keats Island Eastbourne Wharf,283.9,290.79999999999995,290.79999999999995,293.79999999999995,20.0,12,Bowen Bay
28,29,Cormorant,29,Keats Island Eastbourne Wharf,Bowen Bay Marina,293.79999999999995,299.31999999999994,299.31999999999994,302.31999999999994,20.0,0,None
29,30,Cormorant,30,Bowen Bay Marina,Keats Island Eastbourne Wharf,302.31999999999994,309.2199999999999,309.2199999999999,312.2199999999999,20.0,12,Bowen Bay
30,1,Bowen Arrow,1,Snug Cove Marina,Tunstall Bay Dock,30.0,49.92,49.92,52.92,25.0,0,None
31,2,Bowen Arrow,2,Tunstall Bay Dock,Keats Island Eastbourne Wharf,52.92,61.620000000000005,61.620000000000005,64.62,20.0,12,Tunstall Bay
